Brand,Product Name,SKU / ID,Image Link,Target Sale Price (ZAR)
"Cow Brand","COW BRAND Shizen Gokochi Facial Cleansing Bar Soap (80g)","COWBRAND-9102733869292","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Product_Images_31_1664989c-7b3b-44d0-92d6-de4891523b48.png?v=1767889894",124
"Curél","Curél Shampoo Pump (420ml)","CURÉL-7671177937132","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Curel_Shampoo_Pump__420ml_-removebg-preview.png?v=1766172246",437
"Curél","Curél Conditioner Pump (420ml)","CURÉL-7671177085164","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Product_Images_27_105685f8-9c0e-4f4b-8a77-0c35eec5cd9e.png?v=1767888072",456
"Cure","Cure Natural Aqua Gel (250g) - Japanese Version","CURE-7841260765420","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Product_Images_89_c5daf67d-aeae-4282-9d1c-59a01839ca60.png?v=1769081544",569
"d'Alba","d'Alba White Truffle Double Moisture Cream (60ml)","D-9094674677996","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/d_Alba_White_Truffle_Double_Moisture_Cream.png?v=1770233970",1139
"d'Alba","d'Alba White Truffle Double Layer Revitalizing Serum (30ml)","D-8894328930540","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/DALBA-White-Truffle-Double-Layer-Revitalizing-Serum-30ml-Korean-Serum-For-Firming-And-Wrinkles-For-Dullness-and-Anti-Aging-PURESEOUL-UK-KBeauty-Shop.png?v=1747778930",1044
"d'Alba","d'Alba White Truffle Prime Intensive Serum (100ml)","D-9050762838252","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/kshopbeauty.vn-dAlba-White-Truffle-Prime-Intensive-Solution-Serum.png?v=1761840441",626
"d'Alba","d'Alba White Truffle Royal Intensive Serum (100ml)","D-9049820365036","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/4rzkd3tzksa84h6hctphwdhddv3j.webp?v=1761583274",626
"Dr. G","Dr.G Mild Up Sunscreen SPF50+ PA++++ (50ml)","DR.G-7529164341484","https://cdn.shopify.com/s/files/1/0515/4589/9157/products/1300_Green_Mild_Up_Sun_Plus_50ml_01_light-800x800.jpg?v=1655334149",684
"Dr. Reju-All","Dr. Reju-All Advanced Retino-Mela Serum (30ml)","DR.REJU-ALL-9144693260524","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Dr._Reju-All_Advanced_Retino-Mela_Serum.png?v=1771612886",873
"Dr. Reju-All","Dr. Reju-All Advanced LC-Ceramide Barrier Cream (50ml)","DR.REJU-ALL-9144693522668","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Dr.Reju-AllAdvancedLC-CeramideBarrierCream.png?v=1769547463",740
"Dr. Reju-All","Dr. Reju-All Advanced PDRN Rejuvenating Cream","DR.REJU-ALL-9120818299116","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Dr._Reju-All_PDRN_Cream.png?v=1769204901",797
"Eqqualberry","Eqqualberry Purple Rice Pack Cleanser (130g)","EQQUALBERRY-9073049665772","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/8809875456019-1-png_d8a9832c-0888-46fb-8beb-5912041d63a2.png?v=1765988660",418
"Eqqualberry","Eqqualberry Purple Rice Cleansing Oil (200ml)","EQQUALBERRY-9073049469164","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/cze_pl_EQQUALBERRY-Purple-Rice-Pore-Smoothing-Cleansing-Oil-Odlicovaci-olej-200-ml-25205_1.webp?v=1762526002",418
"Eqqualberry","Eqqualberry Hyaltoin Flooding Serum (30ml)","EQQUALBERRY-9073078337772","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/EQQUALBERRY__HYALTOIN_FLOODING_SERUM_30ml_2_PNG.png?v=1770912041",493
"Eqqualberry","Eqqualberry Aloe PDRN Calming Serum (30ml)","EQQUALBERRY-9073048649964","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/hxvo29dc9tfavkoemr56ewv7r5qg.webp?v=1763417490",531
"Eqqualberry","Eqqualberry NAD+ Peptide Boosting Serum (30ml)","EQQUALBERRY-9073047077100","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Eqqualberry_NAD__Peptide_Boosting_Serum__30ml_-removebg-preview.png?v=1766176539",588
"FarmStay","FarmStay Essential Foot Mask (1 pair)","FARMSTAY-9102731149548","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Adobe_Express_-_file.png?v=1765987557",1805
"FarmStay","FarmStay Essential Foot Peeling Mask (1 pair)","FARMSTAY-9102729806060","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/farmstay-essential-foot-peeling-mask-1-pair-926518.png?v=1765988247",114
"FarmStay","FarmStay Essential Hand Mask (1 pair)","FARMSTAY-9102729085164","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/597740__farmstay_essential_maska_do_dloni_1_szt_profile_1317335_WB_j.png?v=1765988366",1805
"fwee","fwee Pocket Eye Palette (6.6g)","FWEE-9106765644012","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/fweepocketeye.png?v=1767223051",550
"fwee","fwee Pocket Cheek Palette (9.6g)","FWEE-9106765250796","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/fwee_pocket_cheek.png?v=1767221297",550
"fwee","fwee Lip & Cheek Blurry Pudding Pot (5g)  ","FWEE-9024574587116","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Fwee_Blurry_Pudding_Pot_1.png?v=1759950430",398
"fwee","fwee Lip & Cheek Glowy Pudding Pot (5g)","FWEE-9024578814188","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Fwee_Glowy_Pudding_Pot_1.png?v=1760471508",455
"fwee","fwee Pink Obsession Stay-Fit Lip Tint (3.8g)","FWEE-9024583500012","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/FweePinkObsessionStay-FitLipTint.png?v=1760555424",379
